titulo,url,precio_pesos,precio_dolar,precio_euro,fecha
LA CASA NEVILLE . LA FORMIDABLE SEÃ‘ORITA  MANON,https://cuspide.com/producto/la-casa-neville-la-formidable-senorita-manon/,11900.0,34.0,32.23,05/10/2023
ESTE DOLOR NO ES MIO,https://cuspide.com/producto/este-dolor-no-es-mio/,9900.0,28.28,26.81,05/10/2023
EL PROBLEMA FINAL,https://cuspide.com/producto/el-problema-final/,10699.0,30.57,28.98,05/10/2023
TESIS SOBRE UNA DOMESTICACION,https://cuspide.com/producto/tesis-sobre-una-domesticacion/,9900.0,28.28,26.81,05/10/2023
ARTIFICIAL,https://cuspide.com/producto/artificial-2/,7999.0,22.85,21.66,05/10/2023
HOLLY,https://cuspide.com/producto/holly/,15999.0,45.71,43.33,05/10/2023
BEYOND THE STORY ( EDICION EN ESPA/OL ),https://cuspide.com/producto/beyond-the-story-edicion-en-espa-ol/,9999.0,28.57,27.08,05/10/2023
EL VUELO DE LA LIBELULA,https://cuspide.com/producto/el-vuelo-de-la-libelula/,8799.0,25.14,23.83,05/10/2023
EL VIENTO CONOCE MI NOMBRE,https://cuspide.com/producto/el-viento-conoce-mi-nombre/,10699.0,30.57,28.98,05/10/2023
UNA FAMILIA ANORMAL,https://cuspide.com/producto/una-familia-anormal-5/,4199.0,12.0,11.37,05/10/2023
DESTROZA ESTE DIARIO ( A TODO COLOR ),https://cuspide.com/producto/destroza-este-diario-a-todo-color/,11200.0,32.0,30.33,05/10/2023
73 MARGARITAS,https://cuspide.com/producto/73-margaritas/,6999.0,20.0,18.96,05/10/2023
EL PODER DE LAS PALABRAS,https://cuspide.com/producto/el-poder-de-las-palabras/,10599.0,30.28,28.71,05/10/2023
HOROSCOPO CHINO 2024,https://cuspide.com/producto/horoscopo-chino-2024/,7999.0,22.85,21.66,05/10/2023
EL PODER DEL AHORA,https://cuspide.com/producto/el-poder-del-ahora/,7199.0,20.57,19.5,05/10/2023
UN VECINO ANORMAL  : Y EL LADRON DEL CHOCOLATE,https://cuspide.com/producto/un-vecino-anormal-y-el-ladron-del-chocolate/,5199.0,14.85,14.08,05/10/2023
ANTES DE QUE SE ENFRIE EL CAFE,https://cuspide.com/producto/antes-de-que-se-enfrie-el-cafe/,9699.0,27.71,26.27,05/10/2023
LA CRISIS DE LA NARRACION,https://cuspide.com/producto/la-crisis-de-la-narracion/,6800.0,19.43,18.42,05/10/2023
DEJA DE SER TU,https://cuspide.com/producto/deja-de-ser-tu/,13390.0,38.26,36.27,05/10/2023
NOSOTROS DOS EN LA TORMENTA,https://cuspide.com/producto/nosotros-dos-en-la-tormenta/,11599.0,33.14,31.41,05/10/2023
LA ARMADURA DE LA LUZ,https://cuspide.com/producto/la-armadura-de-la-luz/,19999.0,57.14,54.17,05/10/2023
EL HOMBRE EN BUSCA DE SENTIDO,https://cuspide.com/producto/el-hombre-en-busca-de-sentido/,6890.0,19.68,18.66,05/10/2023
LOS CUATRO ACUERDOS,https://cuspide.com/producto/los-cuatro-acuerdos/,8490.0,24.26,22.99,05/10/2023
BORN Y QUIETO,https://cuspide.com/producto/born-y-quieto/,11800.0,33.71,31.96,05/10/2023
MIS DIAS EN LA LIBRERIA MORISAKI,https://cuspide.com/producto/mis-dias-en-la-libreria-morisaki/,5850.0,16.71,15.84,05/10/2023
MAFALDA : TODAS LAS TIRAS,https://cuspide.com/producto/mafalda-todas-las-tiras/,14100.0,40.28,38.19,05/10/2023
PORQUE DEMASIADO NO ES SUFICIENTE,https://cuspide.com/producto/porque-demasiado-no-es-suficiente/,8900.0,25.43,24.1,05/10/2023
LA PACIENTE SILENCIOSA,https://cuspide.com/producto/la-paciente-silenciosa/,9999.0,28.57,27.08,05/10/2023
ADIOS CACHORRA,https://cuspide.com/producto/adios-cachorra/,9000.0,25.71,24.38,05/10/2023
LAS NI/AS DEL NARANJEL,https://cuspide.com/producto/las-ni-as-del-naranjel/,9999.0,28.57,27.08,05/10/2023
ELON MUSK,https://cuspide.com/producto/elon-musk/,14999.0,42.85,40.62,05/10/2023
1966 DE ILLIA A ONGANIA,https://cuspide.com/producto/1966-de-illia-a-ongania/,9999.0,28.57,27.08,05/10/2023
EL AMOR ES IMPOSIBLE,https://cuspide.com/producto/el-amor-es-imposible/,11200.0,32.0,30.33,05/10/2023
LA FELICIDAD CABE EN UNA TAZA DE CAFE,https://cuspide.com/producto/la-felicidad-cabe-en-una-taza-de-cafe/,5999.0,17.14,16.25,05/10/2023
"MUCHAS VIDAS , MUCHOS MAESTROS",https://cuspide.com/producto/muchas-vidas-muchos-maestros-2/,7199.0,20.57,19.5,05/10/2023
LAS COSAS QUE PERDIMOS EN EL FUEGO,https://cuspide.com/producto/las-cosas-que-perdimos-en-el-fuego/,10950.0,31.28,29.66,05/10/2023
EL KIRCHNERISMO DESARMADO,https://cuspide.com/producto/el-kirchnerismo-desarmado/,8500.0,24.28,23.02,05/10/2023
GATURRO MESSI,https://cuspide.com/producto/gaturro-messi/,4290.0,12.26,11.62,05/10/2023
"MESSI , CAMPEON DEL MUNDO",https://cuspide.com/producto/messi-campeon-del-mundo/,5990.0,17.11,16.22,05/10/2023
DIBU MARTINEZ : PASION POR EL FUTBOL,https://cuspide.com/producto/dibu-martinez-pasion-por-el-futbol/,5399.0,15.42,14.62,05/10/2023
TAYLOR : FROM THE VAULT,https://cuspide.com/producto/taylor-from-the-vault/,6999.0,20.0,18.96,05/10/2023
QUIZ BOOK - FUTBOL MUNDIAL,https://cuspide.com/producto/quiz-book-futbol-mundial/,3749.0,10.71,10.15,05/10/2023
LA SCALONETA,https://cuspide.com/producto/la-scaloneta/,6490.0,18.54,17.58,05/10/2023
PENSAR A LA JAPONESA,https://cuspide.com/producto/pensar-a-la-japonesa/,5490.0,15.68,14.87,05/10/2023
LOS ARBOLES CAIDOS TAMBIEN SON DEL BOSQUE.,https://cuspide.com/producto/los-arboles-caidos-tambien-son-del-bosque/,5700.0,16.28,15.44,05/10/2023
LOS GUEMES,https://cuspide.com/producto/los-guemes/,13900.0,39.71,37.65,05/10/2023
LA REVOLUCION DE LA GLUCOSA,https://cuspide.com/producto/la-revolucion-de-la-glucosa/,15300.0,43.71,41.44,05/10/2023
DESARMA ESTE LIBRO,https://cuspide.com/producto/desarma-este-libro/,3299.0,9.43,8.94,05/10/2023
LA PACIENCIA DEL AGUA SOBRE CADA PIEDRA,https://cuspide.com/producto/la-paciencia-del-agua-sobre-cada-piedra/,6590.0,18.83,17.85,05/10/2023
SANA A TUS ANTEPASADOS PARA SANAR TU VIDA,https://cuspide.com/producto/sana-a-tus-antepasados-para-sanar-tu-vida/,6490.0,18.54,17.58,05/10/2023
EL SECRETO DE PARIS,https://cuspide.com/producto/el-secreto-de-paris/,10500.0,30.0,28.44,05/10/2023
MEDITACIONES,https://cuspide.com/producto/meditaciones-2/,8570.0,24.48,23.21,05/10/2023
IKIGAI  VINTAGE,https://cuspide.com/producto/ikigai-vintage/,7250.0,20.71,19.64,05/10/2023
NO TE OLVIDARE ( REMINDERS OF HIM ),https://cuspide.com/producto/no-te-olvidare-reminders-of-him/,10500.0,30.0,28.44,05/10/2023
LA CASA DE LOS SUICIDIOS,https://cuspide.com/producto/la-casa-de-los-suicidios/,10500.0,30.0,28.44,05/10/2023
EL DIABLO,https://cuspide.com/producto/el-diablo/,12900.0,36.86,34.94,05/10/2023
FORTUNA,https://cuspide.com/producto/fortuna/,12500.0,35.71,33.86,05/10/2023
SARMIENTO,https://cuspide.com/producto/sarmiento-4/,9799.0,28.0,26.54,05/10/2023
TEMAS DE SIEMPRE,https://cuspide.com/producto/temas-de-siempre/,9200.0,26.28,24.92,05/10/2023
PAIS DE MIERDA,https://cuspide.com/producto/pais-de-mierda/,8900.0,25.43,24.1,05/10/2023
LA SOCIEDAD DEL CANSANCIO,https://cuspide.com/producto/la-sociedad-del-cansancio/,5950.0,17.0,16.12,05/10/2023
EL CAMINO DEL ARTISTA,https://cuspide.com/producto/el-camino-del-artista/,13499.0,38.57,36.56,05/10/2023
HISTORIAS DE DIVAN . DIEZ RELATOS DE VIDA,https://cuspide.com/producto/historias-de-divan-diez-relatos-de-vida/,7500.0,21.43,20.31,05/10/2023
DE UN DIA PARA OTRO,https://cuspide.com/producto/de-un-dia-para-otro/,5999.0,17.14,16.25,05/10/2023
EL MONJE QUE VENDIO SU FERRARI,https://cuspide.com/producto/el-monje-que-vendio-su-ferrari/,7199.0,20.57,19.5,05/10/2023
COMEMOS LO QUE SOMOS,https://cuspide.com/producto/comemos-lo-que-somos/,10900.0,31.14,29.52,05/10/2023
LA VACA NO SE CALLA,https://cuspide.com/producto/la-vaca-no-se-calla/,5940.0,16.97,16.09,05/10/2023
LAS AVENTURAS DE LYNA Y DANI : ELIGE TU HISTORIA,https://cuspide.com/producto/las-aventuras-de-lyna-y-dani-elige-tu-historia/,3999.0,11.43,10.83,05/10/2023
LOS PELIGROS DE FUMAR EN LA CAMA,https://cuspide.com/producto/los-peligros-de-fumar-en-la-cama/,10950.0,31.28,29.66,05/10/2023
COMETIERRA 10 EDIC,https://cuspide.com/producto/cometierra-10-edic/,7300.0,20.86,19.77,05/10/2023
EL GATO Y LA CIUDAD,https://cuspide.com/producto/el-gato-y-la-ciudad/,6350.0,18.14,17.2,05/10/2023
LAS GARRAS DEL AGUILA,https://cuspide.com/producto/las-garras-del-aguila/,11900.0,34.0,32.23,05/10/2023
LAS MUJERES QUE AMAN DEMASIADO,https://cuspide.com/producto/las-mujeres-que-aman-demasiado/,6599.0,18.85,17.87,05/10/2023
MESSI CRACK,https://cuspide.com/producto/messi-crack/,4999.0,14.28,13.54,05/10/2023
EL LOCO,https://cuspide.com/producto/el-loco/,8600.0,24.57,23.29,05/10/2023
LA BIBLIOTECA DE LOS NUEVOS COMIENZOS,https://cuspide.com/producto/la-biblioteca-de-los-nuevos-comienzos/,7900.0,22.57,21.4,05/10/2023
EL NI/O RESENTIDO,https://cuspide.com/producto/el-ni-o-resentido/,4999.0,14.28,13.54,05/10/2023
RESETEA TUS INTESTINOS,https://cuspide.com/producto/resetea-tus-intestinos/,8730.0,24.94,23.64,05/10/2023
LA REVOLUCION DE LA GLUCOSA,https://cuspide.com/producto/la-revolucion-de-la-glucosa-2/,15300.0,43.71,41.44,05/10/2023
MUNDIALITO TRICAMPEON,https://cuspide.com/producto/mundialito-tricampeon/,6000.0,17.14,16.25,05/10/2023
MEJOR QUE EN LAS PELICULAS,https://cuspide.com/producto/mejor-que-en-las-peliculas/,6590.0,18.83,17.85,05/10/2023
COMO SE LLAMA ESTA CANCION DE AMOR ?,https://cuspide.com/producto/como-se-llama-esta-cancion-de-amor/,5999.0,17.14,16.25,05/10/2023
EL ARTE DE AMAR,https://cuspide.com/producto/el-arte-de-amar-3/,4500.0,12.86,12.19,05/10/2023
LA BAILARINA DE AUSCHWITZ,https://cuspide.com/producto/la-bailarina-de-auschwitz-2/,6900.0,19.71,18.69,05/10/2023
GATURRO CAMPEONES !!,https://cuspide.com/producto/gaturro-campeones/,4290.0,12.26,11.62,05/10/2023
LOS SIETE MARIDOS DE EVELYN HUGO,https://cuspide.com/producto/los-siete-maridos-de-evelyn-hugo/,10750.0,30.71,29.12,05/10/2023
AHORA ALFONSIN,https://cuspide.com/producto/ahora-alfonsin/,11900.0,34.0,32.23,05/10/2023
ESTAS PARA MAS,https://cuspide.com/producto/estas-para-mas/,9940.0,28.4,26.92,05/10/2023
COMO GANAR AMIGOS E INFLUIR SOBRE LAS PERSONAS,https://cuspide.com/producto/como-ganar-amigos-e-influir-sobre-las-personas-2/,7199.0,20.57,19.5,05/10/2023
DE DONDE VIENEN,https://cuspide.com/producto/de-donde-vienen/,5699.0,16.28,15.44,05/10/2023
CAMPEONES DEL MUNDO,https://cuspide.com/producto/campeones-del-mundo/,6000.0,17.14,16.25,05/10/2023
MI DIARIO SECRETO : ROSA,https://cuspide.com/producto/mi-diario-secreto-rosa/,6749.0,19.28,18.28,05/10/2023
